application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Savings Accounts,Withdrawal Processing,POSTR57,ReportWriter,4209,54,5,15,6,8,12,50,8,18,0.16,0,Medium
Shared Utilities,Error Handling,MSGU33,Utility,772,32,1,19,2,3,5,13,3,2,0.58,1,Low
Customer Management,KYC Verification,KYCM17,Compliance,4094,107,10,12,5,4,12,31,4,13,0.17,1,Medium
Loans,Interest Calculation,ACCRC42,Calculation,637,31,1,5,0,3,5,75,1,2,0.45,1,Low
Fixed Deposits,Interest Posting,FDINTV33,Validation,1286,70,2,9,2,0,5,35,8,15,0.16,1,Medium
Savings Accounts,Account Opening,ACCTU91,Utility,3598,97,4,23,8,9,11,53,26,35,0.11,6,High
Reporting,Month End Reporting,MONM95,Compliance,324,200,5,6,6,10,31,82,34,19,0.02,10,High
Fixed Deposits,FD Closure,CLOSEU27,Utility,8379,157,1,24,3,11,20,66,9,33,0.13,9,High
Payments,External Transfer,EXTD41,Driver,2903,197,14,6,16,5,22,15,34,21,0.16,3,High
Fixed Deposits,FD Creation,ACCTC09,Calculation,8621,204,15,5,8,13,30,37,15,35,0.13,2,High
Shared Utilities,Packed Decimal Utility,UTILU61,Utility,319,182,3,21,16,8,16,84,12,20,0.02,2,High
Current Accounts,Overdraft Control,RISKV57,Validation,4104,103,0,5,3,0,5,55,0,0,0.56,1,Low
Credit Cards,Fee Calculation,CARDC61,Calculation,5205,70,12,12,8,7,18,38,6,17,0.08,0,Medium
Current Accounts,Overdraft Control,BALV38,Validation,2814,182,17,18,4,2,24,65,15,28,0.17,4,High
Current Accounts,Charge Calculation,FEEV81,Validation,205,106,5,3,4,7,6,40,9,12,0.32,1,Medium
Customer Management,KYC Verification,DOCV37,Validation,2096,134,2,1,5,4,18,23,7,13,0.33,3,Medium
Savings Accounts,Interest Posting,ACCRA89,Audit,2276,24,8,9,5,4,13,50,5,12,0.19,2,Medium
Savings Accounts,Withdrawal Processing,CASHD56,Driver,1992,25,20,3,0,0,19,10,1,3,0.27,1,Low
Reporting,Daily Reporting,SUMR66,ReportWriter,7253,184,19,24,14,6,17,5,23,24,0.19,3,High
Fixed Deposits,FD Renewal,CUSTC30,Calculation,8960,9,0,9,2,0,8,32,0,0,0.52,0,Low
Fixed Deposits,FD Creation,OPENM52,Compliance,1902,121,22,10,12,8,20,31,12,24,0.09,6,High
Credit Cards,Authorization,CARDV76,Validation,310,87,15,8,4,3,8,15,0,1,0.27,0,Low
Current Accounts,Balance Maintenance,ACCTM34,Compliance,6348,172,14,13,16,6,9,46,14,15,0.09,3,High
Savings Accounts,Withdrawal Processing,WDRD02,Driver,469,220,19,10,4,10,20,51,31,23,0.09,5,High
Current Accounts,Balance Maintenance,LEDGA22,Audit,2821,67,5,1,6,1,13,40,10,9,0.15,4,Medium
Current Accounts,Overdraft Control,ODMM32,Compliance,3550,102,10,2,3,12,5,55,4,7,0.36,4,Medium
Current Accounts,Overdraft Control,AUTHC71,Calculation,2343,110,15,12,14,3,19,55,31,33,0.11,10,High
Credit Cards,Authorization,FRDB08,DatabaseAccess,2375,32,14,4,2,8,7,20,0,0,0.33,1,Low
Reporting,Month End Reporting,SUMC48,Calculation,4566,18,2,0,1,1,3,21,3,5,0.4,0,Low
Customer Management,Customer Profile Maintenance,PROFM97,Compliance,490,148,16,17,14,11,10,76,21,29,0.02,2,High
Customer Management,Customer Onboarding,KYCVA03,Audit,1622,17,2,6,4,2,4,1,1,1,0.37,0,Low
Credit Cards,Fraud Detection,AUTHI15,Interface,8126,15,12,2,2,1,12,65,0,6,0.5,0,Low
Reporting,Daily Reporting,FILER25,ReportWriter,1622,37,4,14,5,5,9,22,3,10,0.13,4,Medium
Fixed Deposits,FD Renewal,RENWC62,Calculation,8338,144,14,10,5,8,28,75,30,31,0.09,3,High
Fixed Deposits,FD Renewal,FDMB25,DatabaseAccess,2491,156,16,18,14,7,9,67,21,20,0.16,3,High
Compliance,Audit Logging,AUDD78,Driver,3137,35,7,1,2,3,14,10,0,0,0.39,6,Low
Shared Utilities,Packed Decimal Utility,PACKU20,Utility,1926,86,2,21,6,1,5,11,5,5,0.2,2,Medium
Reporting,Daily Reporting,SUMR85,ReportWriter,8468,20,11,2,6,7,12,37,9,15,0.31,4,Medium
Current Accounts,Overdraft Control,RISKV06,Validation,1450,124,9,13,1,7,14,64,5,9,0.17,3,Medium
Payments,Bill Payment,BILLC09,Calculation,3848,198,9,14,11,11,12,21,19,32,0.21,5,High
Compliance,Sanction Screening,SCRNB70,DatabaseAccess,6424,29,3,3,8,12,15,23,11,16,0.34,8,Medium
Current Accounts,Overdraft Control,RISKA95,Audit,3219,65,2,5,6,6,16,31,7,6,0.08,3,Medium
Customer Management,Customer Onboarding,KYCVC80,Calculation,1021,28,2,3,1,2,2,38,3,0,0.22,1,Low
Savings Accounts,Account Opening,CUSTM06,Compliance,4813,142,5,3,3,11,6,64,3,3,0.35,0,Low
Compliance,Audit Logging,ERRM26,Compliance,4120,154,0,3,4,4,5,10,3,3,0.28,8,Low
Customer Management,KYC Verification,AMLC40,Calculation,4275,77,8,6,2,8,16,49,10,17,0.34,3,Medium
Customer Management,KYC Verification,IDCHKV75,Validation,7225,106,9,23,2,7,13,36,16,27,0.14,3,High
Fixed Deposits,FD Creation,CUSTA29,Audit,1503,36,0,5,1,2,5,14,1,0,0.35,0,Low
Current Accounts,Overdraft Control,ODMM12,Compliance,5663,172,9,4,13,13,21,74,17,24,0.18,8,High
Loans,EMI Processing,EMID69,Driver,3432,44,18,7,2,1,18,40,7,9,0.17,3,Medium
Fixed Deposits,Interest Posting,ACCRB49,DatabaseAccess,5848,199,17,12,7,14,12,16,13,12,0.11,4,High
Current Accounts,Charge Calculation,FEEV88,Validation,8166,97,6,3,5,10,29,14,18,30,0.06,8,High
Shared Utilities,Date Utility,CHKU21,Utility,844,171,4,20,16,14,18,34,18,27,0.09,10,High
Current Accounts,Overdraft Control,LIMM00,Compliance,1493,147,2,1,0,10,6,14,1,2,0.43,1,Low
Payments,Bill Payment,BILLA69,Audit,1170,111,21,22,14,14,18,13,31,31,0.2,9,High
Reporting,Year End Reporting,YEARR04,ReportWriter,7242,26,3,0,7,1,5,9,1,4,0.29,1,Low
Savings Accounts,Deposit Posting,LEDGR59,ReportWriter,4651,21,5,9,11,2,4,64,0,3,0.24,1,Low
Current Accounts,Charge Calculation,GLMC88,Calculation,4224,57,12,1,9,6,12,71,2,12,0.15,3,Medium
Credit Cards,Authorization,MAINDRV,Driver,3523,81,11,8,4,8,17,41,7,4,0.23,0,Medium
Savings Accounts,Interest Posting,ACCRB44,DatabaseAccess,5328,168,9,14,2,8,13,83,23,16,0.2,4,High
Current Accounts,Charge Calculation,POSTP35,BatchProcessor,3521,26,1,3,16,2,10,43,1,0,0.54,1,Low
Loans,Loan Origination,LNORC31,Calculation,5761,18,6,6,3,4,11,48,4,15,0.13,2,Medium
Reporting,Management MIS,SUMP79,BatchProcessor,3850,53,3,9,10,3,15,17,11,17,0.36,4,Medium
Loans,Interest Calculation,INTA74,Audit,5524,37,7,8,8,4,18,32,9,18,0.17,4,Medium
Current Accounts,Charge Calculation,FEEC45,Calculation,5518,90,16,13,11,5,17,62,32,16,0.14,6,High
Loans,Loan Origination,LOANM30,Compliance,5767,220,17,6,14,5,15,72,17,11,0.17,7,High
Customer Management,Customer Onboarding,ADDRC19,Calculation,366,31,2,8,9,0,8,67,3,16,0.27,1,Medium
Savings Accounts,Account Opening,KYCC06,Calculation,550,212,14,8,11,11,26,53,29,30,0.16,10,High
Loans,Loan Closure,LNCLSC59,Calculation,5294,19,5,4,9,7,4,40,4,9,0.14,0,Medium
Loans,EMI Processing,PAYI16,Interface,1149,18,10,8,2,8,19,22,8,7,0.17,1,Medium
Compliance,AML Monitoring,RULEM32,Compliance,5609,44,4,9,3,6,11,16,6,13,0.12,4,Medium
Credit Cards,Limit Management,CARDB82,DatabaseAccess,2122,70,9,4,1,16,15,20,3,15,0.1,1,Medium
Reporting,Month End Reporting,RECONR15,ReportWriter,5871,21,4,3,14,4,6,23,3,6,0.33,0,Medium
Credit Cards,Settlement,GLMC14,Calculation,1461,20,10,9,5,0,6,47,3,0,0.23,1,Low
Credit Cards,Limit Management,CARDI64,Interface,1749,125,18,7,15,2,21,24,11,35,0.06,10,High
Payments,Bill Payment,BILLB94,DatabaseAccess,8867,35,8,2,4,6,19,9,0,3,0.28,1,Low
Compliance,Audit Logging,AUDC53,Calculation,5260,219,21,5,2,4,29,28,13,33,0.01,9,High
Reporting,Daily Reporting,FILEU27,Utility,4095,10,1,9,3,1,2,2,1,3,0.43,0,Low
Compliance,Sanction Screening,KYCD23,Driver,5707,98,18,13,12,2,24,20,24,21,0.04,7,High
Reporting,Month End Reporting,RPTC44,Calculation,7198,24,1,8,5,2,5,68,0,3,0.25,0,Low
Reporting,Management MIS,FILEM26,Compliance,7087,172,22,19,14,9,15,24,22,25,0.02,7,High
Reporting,Month End Reporting,RPTP59,BatchProcessor,5059,24,12,9,5,2,16,19,9,12,0.32,0,Medium
Current Accounts,Balance Maintenance,CURC77,Calculation,529,152,6,15,10,12,24,60,26,18,0.11,10,High
Current Accounts,Charge Calculation,GLMB97,DatabaseAccess,182,26,5,3,5,7,14,65,11,5,0.25,1,Medium
Compliance,AML Monitoring,AMLR01,ReportWriter,2994,115,15,16,9,2,14,17,28,30,0.08,9,High
Loans,Loan Origination,APPRA06,Audit,533,32,3,4,0,0,8,8,0,1,0.45,1,Low
Reporting,Month End Reporting,RECONR54,ReportWriter,3593,28,5,10,8,3,8,14,3,1,0.42,0,Low
Fixed Deposits,FD Closure,PAYA08,Audit,622,5,3,3,4,1,5,15,2,4,0.51,1,Low
Fixed Deposits,Interest Posting,INTC79,Calculation,2963,26,2,7,5,3,7,41,3,2,0.44,1,Low
Current Accounts,Charge Calculation,GLMI02,Interface,5668,74,13,7,5,2,17,7,10,21,0.22,4,High
Credit Cards,Fraud Detection,FRDB69,DatabaseAccess,551,117,13,13,8,12,23,73,16,25,0.01,8,High
Fixed Deposits,FD Closure,FDCR95,ReportWriter,8968,17,2,10,9,0,6,3,2,4,0.32,1,Low
Compliance,AML Monitoring,RULEM84,Compliance,5547,30,5,4,3,7,4,9,0,5,0.36,4,Low
Shared Utilities,Date Utility,UTILU01,Utility,5392,121,4,15,11,9,11,10,24,14,0.04,5,High
Credit Cards,Authorization,LIMITCHK,Validation,2392,118,10,1,5,2,5,32,11,9,0.28,2,Medium
Customer Management,KYC Verification,AMLC21,Calculation,2992,10,2,1,0,1,1,70,0,3,0.32,1,Low
Shared Utilities,Date Utility,HOLU74,Utility,8808,191,2,22,8,7,17,18,30,22,0.05,8,High
Compliance,AML Monitoring,AMLB96,DatabaseAccess,813,41,10,12,5,9,10,37,4,5,0.14,2,Medium
Loans,Interest Calculation,LNINTC45,Calculation,3919,117,9,9,8,11,20,74,8,31,0.06,8,High
Credit Cards,Fraud Detection,AUTHP41,BatchProcessor,2613,72,12,11,12,1,19,57,5,5,0.32,2,Medium
Customer Management,Customer Onboarding,CUSTC22,Calculation,4736,217,13,5,13,7,24,48,12,22,0.04,2,High
Payments,Bill Payment,SCHDB66,DatabaseAccess,7511,14,14,1,5,15,10,15,0,1,0.47,1,Low
Loans,Interest Calculation,CALCC32,Calculation,3966,40,8,11,10,0,8,33,4,12,0.09,2,Medium
Fixed Deposits,FD Renewal,CUSTC29,Calculation,2846,91,10,15,2,6,18,39,29,16,0.2,2,High
Fixed Deposits,FD Closure,GLMC12,Calculation,4784,62,7,15,6,5,10,40,3,13,0.17,0,Medium
Compliance,Sanction Screening,KYCD35,Driver,3441,57,17,3,3,2,25,11,1,5,0.36,3,Low
Reporting,Management MIS,SUMD72,Driver,4671,67,13,9,5,0,20,2,0,2,0.48,1,Low
Loans,Loan Closure,DOCR20,ReportWriter,8050,206,22,17,10,2,23,42,16,35,0.15,7,High
Loans,Loan Closure,DOCV64,Validation,1716,51,1,9,3,2,1,26,0,4,0.41,1,Low
Current Accounts,Charge Calculation,POSTV68,Validation,5476,27,2,1,5,2,6,61,1,3,0.28,1,Low
Customer Management,KYC Verification,ADDRA23,Audit,7634,140,18,8,10,4,27,84,24,33,0.03,6,High
Loans,Loan Closure,DOCA27,Audit,649,13,4,2,1,3,2,19,2,1,0.54,1,Low
Reporting,Daily Reporting,SUMU91,Utility,6586,7,1,15,5,1,1,9,0,0,0.49,1,Low
Current Accounts,Charge Calculation,GLMB09,DatabaseAccess,3169,37,2,6,2,11,15,53,0,3,0.42,1,Low
Current Accounts,Charge Calculation,CALCI21,Interface,2758,84,14,3,3,1,16,25,8,5,0.25,4,Medium
Credit Cards,Fee Calculation,CARDP38,BatchProcessor,708,49,5,7,11,8,20,47,5,18,0.15,4,Medium
Customer Management,Customer Profile Maintenance,ADDRR52,ReportWriter,4776,22,1,4,13,0,7,6,3,6,0.4,1,Low
Current Accounts,Overdraft Control,LIMB59,DatabaseAccess,5041,62,8,17,14,5,10,69,31,16,0.09,5,High
Customer Management,KYC Verification,KYCV20,Validation,6524,106,22,17,7,3,31,75,34,15,0.12,10,High
Customer Management,KYC Verification,AMLA16,Audit,4843,55,4,4,4,3,14,41,6,7,0.22,2,Medium
Loans,Collections,NOTICD71,Driver,5077,87,19,21,6,9,31,25,8,32,0.03,6,High
Compliance,Audit Logging,HISTV04,Validation,4251,105,3,7,4,1,1,6,1,2,0.57,2,Low
Savings Accounts,Interest Posting,BALC75,Calculation,4958,35,3,2,0,3,5,61,0,1,0.51,0,Low
Payments,Standing Instructions,POSTV24,Validation,3465,181,15,20,7,5,18,20,17,30,0.17,8,High
Customer Management,Customer Onboarding,KYCVV63,Validation,1276,134,5,9,0,2,6,1,1,5,0.21,0,Low
Customer Management,Customer Onboarding,ADDRI72,Interface,2363,30,4,4,7,3,9,41,4,8,0.16,4,Medium
Savings Accounts,Account Opening,KYCM25,Compliance,2433,131,6,4,5,7,29,63,16,21,0.12,10,High
Payments,Standing Instructions,PAYP48,BatchProcessor,5942,176,16,18,8,4,18,25,13,13,0.11,4,High
Shared Utilities,Error Handling,ERRU70,Utility,5280,89,1,24,1,4,9,21,2,9,0.22,3,Medium
Fixed Deposits,FD Creation,DOCA26,Audit,3527,59,7,7,3,3,7,16,8,15,0.12,2,Medium
Loans,Collections,NOTICV94,Validation,5327,59,3,14,1,6,10,48,3,14,0.08,3,Medium
Fixed Deposits,Interest Posting,ACCRR44,ReportWriter,5200,28,3,8,12,0,17,11,7,16,0.22,3,Medium
Credit Cards,Settlement,GLMI11,Interface,1340,34,12,2,3,4,18,14,4,11,0.37,1,Medium
Compliance,Audit Logging,AUDD09,Driver,6591,132,22,3,11,9,17,47,13,21,0.1,8,High
Compliance,Sanction Screening,RULEB58,DatabaseAccess,1474,37,0,8,0,12,18,7,2,5,0.3,4,Low
Current Accounts,Charge Calculation,CHGB62,DatabaseAccess,546,126,12,24,15,15,29,83,25,26,0.16,4,High
Savings Accounts,Account Opening,KYCI65,Interface,300,171,16,22,6,14,16,51,25,25,0.02,10,High
Shared Utilities,Format Utility,TEXTU61,Utility,4844,31,0,21,4,2,6,12,3,4,0.55,1,Low
Credit Cards,Authorization,CCMA10,Audit,969,168,19,8,10,9,19,55,12,27,0.15,6,High
Current Accounts,Balance Maintenance,CURC90,Calculation,2740,175,8,15,5,5,9,76,22,11,0.08,9,High
Loans,Loan Origination,CREDC67,Calculation,5753,86,12,20,14,3,22,70,29,18,0.12,7,High
Credit Cards,Settlement,RECONP02,BatchProcessor,3326,30,8,0,10,3,16,31,3,1,0.34,0,Low
Credit Cards,Authorization,CCMC85,Calculation,4332,54,10,2,9,8,16,33,6,16,0.3,1,Medium
Fixed Deposits,FD Renewal,DATEM28,Compliance,2711,171,13,8,2,9,28,83,10,23,0.14,8,High
Credit Cards,Fee Calculation,GLMC57,Calculation,1937,5,14,4,1,2,3,65,2,4,0.36,1,Low
Customer Management,Customer Profile Maintenance,PROFC30,Calculation,296,35,1,8,3,3,8,39,2,0,0.49,0,Low
Credit Cards,Authorization,LIMA21,Audit,812,153,12,15,3,4,15,67,24,25,0.04,10,High
Compliance,Sanction Screening,SCRNM44,Compliance,2205,155,5,0,3,11,7,14,1,3,0.27,3,Low
Shared Utilities,Date Utility,HOLU90,Utility,855,43,1,15,4,1,15,21,3,16,0.18,2,Medium
Fixed Deposits,FD Closure,FDCM79,Compliance,2648,98,3,4,10,7,4,13,8,7,0.1,1,Medium
Reporting,Month End Reporting,MONR31,ReportWriter,6568,73,7,2,6,4,6,10,10,5,0.1,2,Medium
Credit Cards,Fee Calculation,CARDD36,Driver,5941,165,18,19,5,2,25,48,25,21,0.18,4,High
Compliance,Sanction Screening,RULEB01,DatabaseAccess,4347,17,0,4,2,14,10,3,2,0,0.4,1,Low
Loans,Loan Origination,LNORM56,Compliance,2699,126,7,8,10,11,18,63,10,9,0.2,4,Medium
Shared Utilities,Format Utility,UTILU99,Utility,8609,196,0,20,14,4,11,84,28,34,0.01,5,High
Current Accounts,Charge Calculation,GLMV03,Validation,3323,78,11,5,1,2,16,25,11,10,0.15,3,Medium
Customer Management,Customer Profile Maintenance,ADDRD44,Driver,406,184,11,18,2,6,24,73,12,16,0.05,10,High
Payments,Internal Transfer,POSTC27,Calculation,2198,28,13,8,4,3,8,17,1,1,0.21,1,Low
Savings Accounts,Withdrawal Processing,LIMV54,Validation,737,45,1,7,2,2,4,65,2,5,0.52,1,Low
Loans,Loan Closure,PAYM29,Compliance,3923,142,15,18,2,12,25,51,27,34,0.22,3,High
Current Accounts,Charge Calculation,CHGA11,Audit,455,169,9,17,6,11,25,45,31,34,0.09,2,High
Payments,External Transfer,AUTHV28,Validation,4068,57,4,4,5,2,6,14,2,2,0.39,0,Low
Compliance,Audit Logging,AUDA93,Audit,1662,203,13,19,15,8,14,51,25,29,0.2,9,High
Loans,Loan Origination,LNORP77,BatchProcessor,3412,32,6,9,10,8,19,37,7,7,0.13,1,Medium
Customer Management,KYC Verification,IDCHKM79,Compliance,2107,113,2,15,3,8,4,29,9,12,0.09,1,Medium
Shared Utilities,Packed Decimal Utility,FMTC39,Calculation,3882,43,4,14,5,8,11,28,4,18,0.16,2,Medium
Credit Cards,Limit Management,AUTHV47,Validation,2467,82,15,9,3,0,5,14,1,2,0.46,1,Low
Credit Cards,Limit Management,AUTHV40,Validation,4810,136,7,9,1,0,5,37,2,5,0.24,1,Low
Reporting,Management MIS,FILED61,Driver,3893,54,18,3,4,2,19,14,0,4,0.18,0,Low
Reporting,Month End Reporting,RECONA31,Audit,2038,31,4,4,4,3,5,11,1,6,0.5,0,Low
Fixed Deposits,FD Renewal,CUSTP39,BatchProcessor,4576,24,4,3,6,3,20,14,1,6,0.21,1,Low
Fixed Deposits,FD Creation,DOCC66,Calculation,2906,35,1,8,2,3,5,45,1,4,0.4,0,Low
Loans,Interest Calculation,CALCM06,Compliance,5518,148,10,12,6,9,8,18,4,4,0.24,1,Medium
Current Accounts,Overdraft Control,ODMP22,BatchProcessor,1136,13,1,7,14,3,14,60,3,6,0.44,0,Low
Credit Cards,Limit Management,LIMM77,Compliance,1768,94,11,7,6,11,10,44,3,5,0.28,4,Medium
Customer Management,Customer Onboarding,PROFV79,Validation,7054,115,19,12,10,7,19,22,21,13,0.17,4,High
Savings Accounts,Interest Posting,STMTU45,Utility,3359,22,2,20,3,2,6,30,1,3,0.42,0,Low
Compliance,Sanction Screening,KYCB04,DatabaseAccess,5527,113,19,23,2,8,9,81,12,16,0.0,6,High
Reporting,Daily Reporting,SUMI60,Interface,3616,67,11,8,7,5,22,18,9,11,0.12,4,Medium
Loans,Loan Closure,DOCC34,Calculation,1126,111,7,17,9,7,24,73,31,17,0.09,2,High
Savings Accounts,Account Opening,ACCTC53,Calculation,3520,28,2,4,3,1,5,48,2,5,0.28,0,Low
Fixed Deposits,Interest Posting,FDINTB77,DatabaseAccess,3631,13,2,10,5,16,11,12,3,5,0.48,0,Low
Credit Cards,Authorization,AUTHP47,BatchProcessor,4461,25,15,2,9,2,6,49,2,0,0.57,1,Low
Customer Management,Customer Profile Maintenance,HISTB30,DatabaseAccess,1315,125,8,7,16,13,30,66,14,35,0.08,8,High
Current Accounts,Overdraft Control,AUTHC54,Calculation,620,66,10,3,6,8,15,36,7,16,0.24,1,Medium
Payments,External Transfer,EXTB33,DatabaseAccess,2112,109,12,9,2,11,11,76,10,29,0.1,4,High
Loans,Loan Closure,CLOSER55,ReportWriter,6125,60,3,13,8,5,8,9,11,4,0.37,2,Medium
Customer Management,Customer Profile Maintenance,PROFB19,DatabaseAccess,334,61,6,12,7,11,13,21,3,14,0.27,0,Medium
Fixed Deposits,FD Renewal,DATEV83,Validation,4902,96,3,14,8,1,18,14,7,8,0.09,0,Medium
Loans,Collections,NOTICU88,Utility,2108,189,1,23,6,3,32,34,22,29,0.03,8,High
Current Accounts,Overdraft Control,ODMC14,Calculation,5901,30,1,2,1,1,8,51,1,6,0.29,0,Low
Compliance,Audit Logging,AUDA50,Audit,1771,34,3,1,5,3,5,14,1,4,0.37,7,Low
Loans,EMI Processing,INSTA22,Audit,2848,26,4,8,1,1,7,49,1,3,0.48,0,Low
Shared Utilities,Error Handling,ABNDV22,Validation,5621,9,5,17,2,0,7,5,0,3,0.34,0,Low
Compliance,Audit Logging,ERRM45,Compliance,4729,206,21,8,16,12,8,40,32,12,0.04,9,High
Customer Management,KYC Verification,AMLC84,Calculation,2001,11,4,6,0,1,3,25,2,0,0.3,1,Low
Savings Accounts,Interest Posting,POSTR47,ReportWriter,7824,6,2,10,4,1,5,48,2,0,0.36,0,Low
Credit Cards,Limit Management,CRLIMI91,Interface,667,215,20,18,10,7,17,69,15,26,0.09,4,High
Credit Cards,Authorization,CARDSTAT,Validation,5251,83,12,13,8,8,17,7,3,14,0.23,1,Medium
Shared Utilities,Packed Decimal Utility,FMTM35,Compliance,7935,10,0,9,2,12,4,2,1,0,0.61,0,Low
Fixed Deposits,FD Closure,GLMA18,Audit,7461,202,19,20,13,11,20,47,19,31,0.04,7,High
Loans,Collections,DUEI91,Interface,1984,14,15,5,4,0,10,27,2,4,0.3,1,Low
Payments,Internal Transfer,ACCTU57,Utility,1513,83,15,17,4,2,10,18,2,12,0.18,1,Medium
Current Accounts,Overdraft Control,ODMD68,Driver,2367,85,16,12,3,6,11,47,5,5,0.14,4,Medium
Customer Management,KYC Verification,IDCHKP48,BatchProcessor,5923,74,21,14,8,11,12,59,24,34,0.06,10,High
Compliance,Sanction Screening,RULEM90,Compliance,7712,7,1,0,1,8,5,4,2,4,0.52,1,Low
Payments,Standing Instructions,PAYC80,Calculation,4206,142,8,18,11,13,22,55,19,32,0.08,2,High
Reporting,Management MIS,RPTR17,ReportWriter,7154,148,18,21,3,14,8,82,28,33,0.04,9,High
Credit Cards,Authorization,CCMV72,Validation,5746,100,9,11,9,6,13,39,3,5,0.28,1,Medium
Payments,Bill Payment,SCHDC72,Calculation,2122,60,15,12,8,7,7,22,3,9,0.19,2,Medium
