application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Shared Utilities,Error Handling,ABNDC57,Calculation,6419,165,14,8,8,16,13,75,16,30,0.09,5,High
Reporting,Management MIS,RPTP11,BatchProcessor,1668,112,14,6,16,2,17,4,10,4,0.1,1,Low
Payments,Standing Instruction,PAYM28,Compliance,8627,8,7,5,4,1,3,4,2,4,0.45,2,Low
Reporting,Month End Reporting,RPTP30,BatchProcessor,5870,57,7,20,14,0,16,2,10,20,0.41,5,Medium
Reporting,Management MIS,FILEM85,Compliance,7489,25,4,11,14,4,5,17,0,3,0.6,2,Low
Credit Cards,Fee Calculation,POSTC96,Calculation,2844,59,4,9,1,3,6,52,8,6,0.56,3,Medium
Savings Accounts,Account Opening,CUSTA74,Audit,3558,27,8,13,9,3,7,25,18,12,0.19,6,Medium
Savings Accounts,Deposit Posting,DEPC38,Calculation,1213,74,6,29,12,2,18,36,9,17,0.13,11,High
Payments,Internal Transfer,XFERC74,Calculation,3665,26,9,10,3,7,4,46,8,11,0.09,1,Medium
Reporting,Management MIS,FILER33,ReportWriter,4146,97,13,14,15,7,10,11,12,19,0.13,1,Low
Shared Utilities,Date Utility,DATEM72,Compliance,1638,22,6,5,2,0,6,16,7,11,0.29,1,Low
Current Accounts,Overdraft Control,BALV00,Validation,2030,130,13,18,9,16,33,66,20,30,0.11,11,High
Reporting,Management MIS,DASHP18,BatchProcessor,8167,99,10,14,12,5,15,22,4,5,0.17,3,Medium
Compliance,Sanction Screening,RULEM75,Compliance,2718,35,3,14,2,2,1,3,1,11,0.4,3,Low
Shared Utilities,Date Utility,UTILU28,Utility,2527,102,6,16,7,2,4,42,5,14,0.17,5,Medium
Reporting,Daily Reporting,EXTRR76,ReportWriter,8589,17,6,5,12,3,11,14,3,1,0.53,0,Low
Compliance,Audit Logging,LOGC39,Calculation,1439,197,8,19,8,4,13,77,23,38,0.15,5,High
Payments,External Transfer,ACHM88,Compliance,5500,17,5,5,3,1,10,25,2,2,0.23,3,Low
Loans,Loan Closure,DOCD54,Driver,4287,81,20,29,18,7,16,58,10,23,0.19,9,High
Savings Accounts,Withdrawal Processing,CASHI63,Interface,603,150,11,24,9,5,13,48,14,13,0.12,3,High
Shared Utilities,Format Utility,FMTA55,Audit,5644,29,4,14,7,2,3,3,3,2,0.6,1,Low
Savings Accounts,Interest Posting,BALR54,ReportWriter,8578,66,13,7,13,2,5,78,11,8,0.33,0,Medium
Credit Cards,Fraud Detection,CARDB60,DatabaseAccess,1427,112,11,8,4,9,4,36,13,8,0.24,3,Medium
Credit Cards,Fee Calculation,FEEP23,BatchProcessor,3738,22,4,13,1,2,11,32,8,0,0.16,0,Medium
Savings Accounts,Account Opening,ACCTR90,ReportWriter,4829,78,19,11,7,4,13,38,13,15,0.0,7,High
Shared Utilities,Format Utility,MASKV59,Validation,1237,49,3,8,1,3,9,6,8,4,0.57,3,Low
Current Accounts,Balance Maintenance,BALM46,Compliance,488,109,5,5,10,12,17,75,17,25,0.06,12,High
Customer Management,Profile Maintenance,ADDRD52,Driver,1333,72,22,10,7,6,13,8,3,12,0.41,2,Medium
Customer Management,KYC Verification,IDCHKU26,Utility,3064,59,1,13,6,1,7,4,2,6,0.17,1,Medium
Payments,External Transfer,AUTHC77,Calculation,6547,53,12,6,7,10,5,68,7,5,0.28,3,Medium
Reporting,Management MIS,RPTR90,ReportWriter,2168,91,20,24,14,8,7,66,11,24,0.06,8,High
Loans,Loan Closure,CLOSEC88,Calculation,598,44,7,8,7,0,5,61,2,8,0.37,2,Low
Customer Management,KYC Verification,KYCP92,BatchProcessor,5212,88,6,3,11,6,13,47,18,14,0.12,4,Medium
Savings Accounts,Deposit Posting,POSTP32,BatchProcessor,3841,84,8,10,7,1,3,75,12,15,0.12,1,Medium
Shared Utilities,Packed Decimal Utility,NUMU49,Utility,4550,93,0,14,18,16,33,42,31,21,0.27,11,High
Customer Management,Customer Onboarding,ONBRV95,Validation,1740,131,21,14,3,8,34,38,22,17,0.1,5,High
Fixed Deposits,FD Creation,DOCV83,Validation,3139,100,9,18,8,1,13,29,11,15,0.17,0,Medium
Shared Utilities,Format Utility,MASKU47,Utility,4659,51,2,19,1,2,11,44,10,11,0.17,1,Medium
Shared Utilities,Packed Decimal Utility,DECU95,Utility,4638,48,2,15,1,0,4,19,0,8,0.46,3,Low
Reporting,Daily Reporting,DAYA56,Audit,8363,87,14,5,15,9,7,7,13,13,0.17,6,Low
Compliance,Regulatory Reporting,MISM21,Compliance,2724,65,6,4,1,7,8,6,11,4,0.18,7,Medium
Current Accounts,Balance Maintenance,LEDGD76,Driver,5107,23,13,10,1,1,12,67,4,0,0.57,2,Low
Savings Accounts,Interest Posting,INTC82,Calculation,686,116,2,20,12,4,14,71,17,17,0.25,3,Medium
Credit Cards,Fraud Detection,RULED14,Driver,765,214,8,24,14,11,25,43,21,20,0.01,5,High
Compliance,Audit Logging,TRACEA01,Audit,5701,58,3,20,8,3,16,6,15,21,0.33,7,Low
Payments,Bill Payment,SCHDM86,Compliance,640,115,20,23,4,3,17,72,17,29,0.06,4,High
Credit Cards,Authorization,CARDSTAT,Validation,6923,86,3,5,9,3,3,80,14,14,0.27,6,Medium
Credit Cards,Authorization,FRDC59,Calculation,1537,27,4,8,3,5,5,17,4,10,0.18,2,Low
Compliance,Audit Logging,AUDP68,BatchProcessor,5655,45,0,6,2,1,2,17,6,5,0.52,9,Low
Customer Management,Profile Maintenance,HISTP49,BatchProcessor,7028,100,8,4,9,8,9,42,16,20,0.15,3,Medium
Current Accounts,Balance Maintenance,LEDGM61,Compliance,8727,86,10,9,3,5,11,80,23,12,0.08,6,High
Payments,Bill Payment,PAYB95,DatabaseAccess,6542,31,9,9,4,8,15,51,8,7,0.16,6,Medium
Reporting,Year End Reporting,GLMR91,ReportWriter,8514,123,5,19,12,8,17,34,26,38,0.21,3,High
Fixed Deposits,FD Renewal,RATEV12,Validation,3510,179,5,13,7,13,14,20,25,34,0.21,9,High
Payments,External Transfer,AUTHB77,DatabaseAccess,7446,108,20,27,15,12,35,28,26,29,0.17,11,High
Savings Accounts,Interest Posting,STMTV34,Validation,5906,179,9,14,4,16,27,79,10,37,0.18,12,High
Loans,Loan Origination,DOCD95,Driver,3902,59,21,10,7,3,10,53,7,4,0.48,2,Low
Shared Utilities,Format Utility,UTILU66,Utility,3205,41,4,19,2,3,1,22,5,0,0.24,2,Low
Customer Management,Customer Onboarding,KYCV61,Validation,8506,130,8,11,15,5,20,68,11,38,0.07,10,High
Compliance,Regulatory Reporting,RPTM73,Compliance,2661,55,14,10,9,7,10,11,16,13,0.31,8,Medium
Compliance,Audit Logging,HISTM85,Compliance,4709,4,7,10,0,3,3,13,8,2,0.26,3,Medium
Savings Accounts,Withdrawal Processing,CASHR48,ReportWriter,5070,18,2,13,5,0,9,12,4,0,0.47,1,Low
Payments,Bill Payment,BILLM39,Compliance,1371,77,6,17,18,7,17,81,20,10,0.28,2,Medium
Current Accounts,Overdraft Control,BALV60,Validation,4569,78,6,17,3,9,13,71,4,24,0.32,4,Medium
Fixed Deposits,Interest Posting,FDINTP64,BatchProcessor,7015,30,4,2,0,0,1,22,1,0,0.32,1,Low
Compliance,Sanction Screening,NAMEM17,Compliance,5675,157,12,21,7,14,27,37,16,13,0.25,10,High
Credit Cards,Authorization,FRDV08,Validation,5482,131,6,9,5,3,6,38,7,14,0.29,5,Medium
Shared Utilities,Date Utility,CHKU18,Utility,2857,81,5,24,1,5,15,0,18,8,0.21,4,Medium
Savings Accounts,Deposit Posting,LEDGU42,Utility,6506,109,4,19,13,7,15,29,10,13,0.2,12,High
Payments,Internal Transfer,PAYB83,DatabaseAccess,1182,14,5,13,6,13,10,21,8,10,0.16,2,Low
Shared Utilities,Packed Decimal Utility,NUMA84,Audit,166,17,3,1,0,5,9,2,8,8,0.21,2,Low
Fixed Deposits,Interest Posting,FDINTB20,DatabaseAccess,6510,6,0,13,7,11,6,14,4,2,0.36,2,Low
Loans,Loan Origination,APPRV04,Validation,1265,138,9,8,17,2,22,62,29,17,0.12,11,High
Current Accounts,Balance Maintenance,ACCTC90,Calculation,272,60,22,19,8,5,21,44,8,30,0.03,12,Medium
Fixed Deposits,Interest Posting,ACCRI44,Interface,4204,98,22,24,12,13,22,89,21,31,0.24,11,High
Compliance,Audit Logging,ERRD48,Driver,3913,65,22,17,12,1,15,17,18,6,0.13,9,Medium
Compliance,Audit Logging,ERRV67,Validation,5648,63,8,17,5,6,8,7,16,5,0.34,4,Medium
Compliance,AML Monitoring,SCANP44,BatchProcessor,2744,56,12,12,7,7,9,28,4,8,0.17,10,Medium
Compliance,Sanction Screening,KYCM77,Compliance,501,212,8,3,11,15,31,52,32,10,0.08,10,High
Customer Management,Customer Onboarding,ADDRR96,ReportWriter,5674,201,6,7,11,16,15,11,32,22,0.1,6,High
Fixed Deposits,Interest Posting,GLMB17,DatabaseAccess,6588,212,19,21,8,11,31,41,11,12,0.22,3,High
Current Accounts,Overdraft Control,RISKM10,Compliance,301,201,4,8,12,5,7,56,22,16,0.13,2,High
Compliance,AML Monitoring,RISKM05,Compliance,5945,43,4,14,6,5,8,14,3,3,0.23,4,Low
Customer Management,KYC Verification,IDCHKM96,Compliance,3061,104,12,19,1,10,16,55,4,17,0.27,5,Medium
Savings Accounts,Account Opening,ACCTC53,Calculation,6991,69,5,19,7,3,18,73,7,25,0.07,4,Medium
Savings Accounts,Deposit Posting,BALP02,BatchProcessor,4131,56,2,2,0,5,4,19,0,7,0.5,2,Low
Shared Utilities,Packed Decimal Utility,DECU82,Utility,141,39,0,22,6,2,6,4,0,2,0.19,3,Low
Credit Cards,Limit Management,CRLIMI78,Interface,5918,186,9,14,15,16,28,66,29,19,0.13,4,High
Credit Cards,Limit Management,CRLIMV45,Validation,832,76,2,5,6,4,6,48,18,13,0.2,4,High
Payments,External Transfer,SWFTC40,Calculation,3633,4,3,4,0,3,8,23,3,7,0.59,1,Low
Reporting,Management MIS,FILEA07,Audit,651,98,10,20,16,10,10,54,20,22,0.07,4,High
Reporting,Year End Reporting,GLMB33,DatabaseAccess,856,114,24,5,16,15,28,72,32,20,0.1,6,High
Payments,External Transfer,SWFTV36,Validation,1137,178,11,8,12,3,14,35,10,37,0.06,7,High
Payments,Bill Payment,AUTHB78,DatabaseAccess,2899,97,16,18,9,15,31,20,33,9,0.01,11,High
Credit Cards,Authorization,LIMD84,Driver,6700,81,23,18,16,16,15,16,23,9,0.22,6,High
Credit Cards,Fraud Detection,CARDV44,Validation,715,120,11,5,5,5,5,44,5,14,0.08,2,Medium
Loans,Loan Origination,CREDB62,DatabaseAccess,6758,24,3,11,4,11,19,46,4,12,0.31,6,Medium
Shared Utilities,Error Handling,MSGA18,Audit,1988,85,12,6,3,9,9,39,9,12,0.28,0,Medium
Loans,Loan Origination,LNORC72,Calculation,225,116,11,1,8,0,14,16,7,3,0.23,2,Medium
Fixed Deposits,FD Closure,TAXR41,ReportWriter,6332,30,2,6,11,4,11,18,6,1,0.2,3,Low
Fixed Deposits,FD Renewal,RENWD08,Driver,7910,91,11,7,15,14,7,67,28,8,0.13,12,High
Credit Cards,Limit Management,CRLIMB43,DatabaseAccess,792,79,7,1,7,10,21,70,7,21,0.2,3,Medium
Customer Management,KYC Verification,NAMED93,Driver,6968,115,20,13,10,7,32,85,15,35,0.01,3,High
Current Accounts,Balance Maintenance,LEDGP93,BatchProcessor,462,197,16,12,15,8,32,60,35,25,0.0,4,High
Savings Accounts,Deposit Posting,ACCTA39,Audit,3857,189,24,9,8,9,15,47,18,23,0.15,6,High
Loans,Loan Closure,CLOSEV43,Validation,6151,150,4,7,3,0,15,16,4,16,0.12,2,Medium
Shared Utilities,Error Handling,UTILU91,Utility,5864,29,2,11,6,4,8,10,4,5,0.47,2,Low
Reporting,Year End Reporting,RPTR79,ReportWriter,1326,83,24,9,17,12,18,13,8,38,0.01,5,High
Customer Management,Customer Onboarding,KYCU81,Utility,2589,35,1,14,5,0,5,3,1,6,0.58,1,Low
Reporting,Management MIS,DASHU28,Utility,3766,42,0,13,10,4,7,22,5,24,0.34,1,Medium
Fixed Deposits,FD Closure,TAXC29,Calculation,1082,108,4,16,2,5,13,67,12,21,0.22,1,Medium
Shared Utilities,Error Handling,ABNDR23,ReportWriter,2421,114,5,2,12,1,20,49,16,25,0.39,2,Medium
Customer Management,Customer Onboarding,ONBRC47,Calculation,5930,72,5,1,6,8,21,21,12,22,0.42,6,Medium
Fixed Deposits,FD Creation,CUSTP60,BatchProcessor,6558,119,20,4,14,5,7,76,25,16,0.17,4,High
Payments,Standing Instruction,PAYD59,Driver,1648,67,14,18,8,2,9,45,4,7,0.36,3,Medium
Current Accounts,Balance Maintenance,BALR20,ReportWriter,5648,91,9,22,13,14,33,90,15,11,0.04,3,High
Loans,Loan Closure,PAYM71,Compliance,2606,40,3,7,0,2,9,71,3,2,0.23,1,Low
Payments,Bill Payment,SCHDP86,BatchProcessor,8201,59,14,19,10,14,8,6,22,11,0.11,3,High
Payments,Bill Payment,POSTD93,Driver,6253,62,16,16,10,10,21,45,3,23,0.22,2,Medium
Credit Cards,Settlement,ACQC54,Calculation,3711,97,14,6,2,3,33,68,30,33,0.24,8,High
Payments,Bill Payment,SCHDC05,Calculation,6054,99,8,28,5,3,31,76,11,14,0.21,9,High
Loans,Loan Origination,DOCI31,Interface,6203,91,8,19,7,2,3,78,6,8,0.06,4,Medium
Customer Management,Customer Onboarding,DOCD07,Driver,8558,48,21,29,15,3,10,90,12,37,0.24,10,High
Fixed Deposits,FD Creation,OPEND29,Driver,3149,50,16,1,4,6,7,46,16,8,0.37,6,Medium
Savings Accounts,Withdrawal Processing,CASHA58,Audit,4496,53,2,9,1,0,5,26,8,1,0.42,3,Low
Fixed Deposits,FD Creation,DOCV91,Validation,6641,142,11,11,17,13,30,80,10,9,0.16,6,High
Reporting,Month End Reporting,RPTR13,ReportWriter,2682,43,6,9,7,2,4,23,5,10,0.33,1,Low
Current Accounts,Overdraft Control,RISKV87,Validation,3481,149,5,14,3,4,18,54,14,21,0.22,3,Medium
Compliance,Sanction Screening,NAMEV18,Validation,1034,143,1,12,3,0,10,11,6,2,0.43,1,Medium
Payments,Standing Instruction,POSTC63,Calculation,8761,183,13,23,5,4,10,74,10,31,0.17,4,High
Loans,Loan Origination,APPRD69,Driver,8787,10,22,10,1,1,10,68,4,6,0.3,0,Low
Loans,Collections,DUEV12,Validation,5109,58,11,3,11,5,4,80,5,14,0.08,3,Medium
Current Accounts,Overdraft Control,ODMC35,Calculation,483,37,12,7,8,1,10,57,6,24,0.39,3,Medium
Customer Management,Profile Maintenance,UPDTV66,Validation,5593,40,5,11,4,0,10,13,0,6,0.59,1,Low
Credit Cards,Limit Management,BALV50,Validation,1673,65,1,4,6,4,7,8,3,0,0.29,2,Low
Payments,Standing Instruction,POSTD41,Driver,2398,4,22,10,3,3,4,8,1,5,0.38,0,Low
Shared Utilities,Format Utility,MASKA74,Audit,661,14,3,14,4,4,2,5,3,9,0.48,2,Low
Customer Management,Customer Onboarding,DOCR46,ReportWriter,3723,59,4,4,3,5,8,17,8,8,0.16,2,Low
Savings Accounts,Interest Posting,STMTC56,Calculation,4649,210,13,24,8,4,27,68,11,24,0.22,2,High
Savings Accounts,Withdrawal Processing,LIMC05,Calculation,885,115,19,19,7,13,33,55,34,30,0.1,7,High
Reporting,Daily Reporting,EXTRR52,ReportWriter,4949,11,5,7,7,4,9,25,0,0,0.22,0,Low
Loans,Loan Closure,DOCC40,Calculation,6092,22,4,14,2,4,5,52,0,3,0.3,0,Low
Savings Accounts,Withdrawal Processing,WDRC37,Calculation,286,92,5,18,10,2,18,30,13,9,0.17,0,Medium
Loans,Loan Origination,LOANB70,DatabaseAccess,4957,32,1,0,5,9,6,53,2,7,0.27,0,Low
Reporting,Year End Reporting,GLMR23,ReportWriter,477,172,20,28,8,13,21,65,19,22,0.05,12,High
Shared Utilities,Error Handling,ERRM34,Compliance,4425,83,8,16,10,11,11,47,11,23,0.15,4,High
Payments,External Transfer,AUTHV45,Validation,387,96,8,4,11,4,21,24,7,3,0.41,5,Medium
Credit Cards,Fee Calculation,CALCC45,Calculation,2422,40,2,6,3,2,10,50,4,0,0.52,1,Low
Fixed Deposits,Interest Posting,ACCRM57,Compliance,7574,28,6,5,7,4,12,20,0,5,0.44,1,Low
Payments,External Transfer,SWFTI30,Interface,8346,15,5,11,6,0,9,7,1,0,0.49,0,Low
Shared Utilities,Packed Decimal Utility,DECU65,Utility,521,69,5,24,15,5,11,32,11,38,0.19,6,High
Payments,External Transfer,ACHD38,Driver,514,220,11,13,6,12,17,21,33,17,0.23,2,High
Customer Management,Profile Maintenance,PROFP38,BatchProcessor,5817,100,8,11,6,10,4,54,11,7,0.21,4,Low
Current Accounts,Charge Calculation,GLMC61,Calculation,3874,19,2,2,0,3,12,55,1,10,0.57,1,Low
Payments,External Transfer,EXTM19,Compliance,1253,35,3,20,6,1,15,19,3,14,0.28,5,Medium
Payments,Bill Payment,AUTHB29,DatabaseAccess,1421,66,1,20,12,16,7,9,4,22,0.2,1,Medium
Shared Utilities,Error Handling,ABNDU84,Utility,2451,30,4,24,6,8,15,18,9,22,0.3,2,Medium
Compliance,AML Monitoring,AMLA71,Audit,1832,183,6,19,10,11,17,15,10,22,0.21,9,High
Loans,Collections,COLLP92,BatchProcessor,4166,54,3,11,4,1,4,24,3,5,0.18,2,Low
Credit Cards,Limit Management,LIMC78,Calculation,5639,11,0,10,2,1,6,60,5,7,0.35,3,Low
Credit Cards,Fee Calculation,CARDI36,Interface,2729,54,4,10,5,3,2,28,3,6,0.56,3,Low
Compliance,Audit Logging,ERRA65,Audit,6014,195,13,12,9,11,15,4,30,13,0.27,4,High
Savings Accounts,Account Opening,KYCVM40,Compliance,2521,59,10,8,6,7,19,50,14,38,0.13,6,Medium
Savings Accounts,Withdrawal Processing,BALV46,Validation,8511,87,18,28,9,4,14,81,22,8,0.13,8,High
Savings Accounts,Account Opening,OPENM78,Compliance,3128,41,3,1,0,5,7,42,8,2,0.18,1,Low
Compliance,Sanction Screening,RULEC02,Calculation,7482,156,16,17,8,16,29,57,30,10,0.17,8,High
Loans,Loan Closure,PAYD12,Driver,5817,172,19,5,17,2,30,90,27,34,0.25,10,High
Savings Accounts,Account Opening,ACCTA15,Audit,4959,33,0,8,6,1,10,22,0,6,0.59,2,Low
Shared Utilities,Error Handling,MSGU16,Utility,1668,60,1,11,5,5,3,12,0,4,0.29,0,Low
Savings Accounts,Interest Posting,ACCRB98,DatabaseAccess,8911,19,3,6,5,6,11,23,0,4,0.34,1,Low
Savings Accounts,Withdrawal Processing,BALV67,Validation,5898,150,6,9,5,5,5,40,15,10,0.12,5,Medium
Credit Cards,Fraud Detection,RISKV11,Validation,3782,148,13,6,4,0,3,33,10,21,0.28,2,Medium
Reporting,Year End Reporting,YEARR36,ReportWriter,6791,98,13,13,9,1,16,48,13,20,0.21,4,Medium
Credit Cards,Authorization,TXREAD,BatchProcessor,5209,55,4,13,6,0,4,37,0,11,0.45,0,Low
Payments,Standing Instruction,DATEM69,Compliance,1419,93,5,7,12,6,19,30,6,12,0.15,3,Medium
Reporting,Month End Reporting,RECONR61,ReportWriter,7891,26,4,7,11,5,12,25,5,5,0.31,0,Low
Shared Utilities,Packed Decimal Utility,FMTC29,Calculation,5479,155,7,16,7,8,34,21,28,16,0.28,7,High
Reporting,Month End Reporting,MONR80,ReportWriter,4551,45,2,6,7,4,12,13,0,0,0.24,3,Low
Customer Management,Customer Onboarding,KYCP35,BatchProcessor,1195,170,23,14,12,8,30,8,25,34,0.23,4,High
Payments,Internal Transfer,POSTA71,Audit,6620,54,4,8,10,7,19,21,18,18,0.4,1,Medium
Savings Accounts,Deposit Posting,ACCTA32,Audit,2132,213,6,12,13,14,33,53,22,18,0.14,10,High
Savings Accounts,Account Opening,CUSTR75,ReportWriter,2428,54,1,0,7,2,3,39,8,6,0.2,3,Low
Reporting,Month End Reporting,RPTC33,Calculation,5085,65,20,3,15,8,31,86,15,28,0.19,11,High
Customer Management,Customer Onboarding,DOCP92,BatchProcessor,6375,205,5,16,14,3,23,63,33,34,0.15,3,High
Credit Cards,Authorization,AUTHV49,Validation,3986,112,14,19,1,6,17,55,12,17,0.39,0,Medium
Customer Management,Profile Maintenance,ADDRB39,DatabaseAccess,3755,41,7,1,2,6,6,11,5,3,0.23,1,Low
Payments,Internal Transfer,PAYM18,Compliance,8260,176,23,8,7,5,19,5,10,36,0.2,6,High
Current Accounts,Overdraft Control,AUTHA43,Audit,5867,7,3,12,5,5,5,47,2,3,0.34,1,Low
Reporting,Year End Reporting,AUDP74,BatchProcessor,2251,130,22,17,10,3,12,68,10,36,0.14,6,High
Savings Accounts,Account Opening,KYCVR20,ReportWriter,7203,23,5,19,15,1,13,56,7,21,0.07,3,Medium
Current Accounts,Balance Maintenance,BALV71,Validation,633,70,6,4,10,12,22,23,22,28,0.21,5,Medium
Customer Management,KYC Verification,DOCA77,Audit,6170,136,15,15,7,6,9,83,11,37,0.26,9,High
Shared Utilities,Date Utility,CALA94,Audit,1442,29,1,3,7,1,12,15,8,5,0.18,3,Low
Savings Accounts,Deposit Posting,LEDGU66,Utility,4444,64,2,24,2,4,9,68,4,24,0.24,3,Medium
Compliance,AML Monitoring,RULEV50,Validation,7007,11,0,10,0,0,10,19,1,3,0.39,0,Low
Compliance,Audit Logging,HISTM62,Compliance,1328,184,11,3,13,14,30,47,35,19,0.14,9,High
Credit Cards,Limit Management,CRLIMR71,ReportWriter,8980,101,13,2,10,4,7,43,16,24,0.31,4,Medium
Savings Accounts,Interest Posting,INTU88,Utility,3184,39,4,14,6,7,8,44,9,23,0.15,6,Medium
Customer Management,Customer Onboarding,ADDRR57,ReportWriter,5335,106,6,8,8,5,10,10,17,11,0.3,2,Medium
Reporting,Management MIS,RPTR14,ReportWriter,6420,199,11,23,11,13,34,29,15,34,0.14,3,High
Shared Utilities,Format Utility,OUTU98,Utility,5591,66,3,27,14,6,25,78,14,38,0.0,10,High
Current Accounts,Charge Calculation,CHGR63,ReportWriter,5162,49,6,8,4,2,3,38,1,4,0.25,1,Low
Shared Utilities,Format Utility,UTILU04,Utility,3769,93,4,17,11,9,3,41,12,8,0.3,1,Medium
Loans,Loan Closure,LNCLSV84,Validation,5539,105,4,7,6,2,15,29,11,23,0.07,3,Medium
Shared Utilities,Packed Decimal Utility,PACKU86,Utility,5878,27,1,9,12,3,10,48,17,10,0.18,3,Medium
Shared Utilities,Format Utility,FMTM56,Compliance,1964,52,6,3,8,8,21,35,17,8,0.27,2,Medium
Payments,External Transfer,PAYM61,Compliance,4529,120,21,30,3,9,13,67,16,17,0.1,7,High
Payments,Standing Instruction,DATEB72,DatabaseAccess,5739,43,5,4,4,8,9,4,3,10,0.16,1,Medium
Reporting,Year End Reporting,GLMR37,ReportWriter,4593,28,6,4,9,3,6,24,5,2,0.15,0,Low
Fixed Deposits,Interest Posting,ACCRA11,Audit,1114,16,0,2,4,4,12,9,3,4,0.17,1,Low
Fixed Deposits,FD Renewal,RENWU17,Utility,3367,56,2,17,4,3,20,32,9,17,0.31,5,Medium
Current Accounts,Balance Maintenance,BALV13,Validation,6827,182,6,16,6,14,9,29,15,21,0.0,8,High
Shared Utilities,Packed Decimal Utility,PACKA03,Audit,4892,9,5,11,0,2,10,24,5,5,0.31,1,Low
Credit Cards,Authorization,CARDC32,Calculation,743,109,13,12,16,2,23,28,28,22,0.06,8,High
Fixed Deposits,FD Closure,GLMM33,Compliance,3337,59,7,2,10,0,3,19,14,19,0.24,4,Medium
Loans,Loan Closure,BALD62,Driver,5360,124,9,21,16,12,20,77,30,32,0.24,4,High
Credit Cards,Settlement,POSTD35,Driver,1020,30,20,10,5,3,4,63,0,7,0.53,2,Low
Compliance,AML Monitoring,RISKM32,Compliance,2075,43,0,1,3,4,6,4,6,7,0.32,10,Low
